symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
IVZ,2017-09-22,32.845500,32.879100,False,32.029200,32.163600,reg,2657637
IVZ,2017-09-25,32.874300,33.052000,False,32.581400,32.759100,reg,1485311
IVZ,2017-09-26,32.739900,33.037600,False,32.720700,32.932000,reg,1161131
IVZ,2017-09-27,33.037600,33.205700,False,32.749500,33.104800,reg,1735524
IVZ,2017-09-28,32.922400,32.932000,False,32.317300,32.653400,reg,2716965
IVZ,2017-09-29,33.652300,34.036400,False,33.095200,33.095200,reg,3333879
IVZ,2017-10-02,34.122900,34.137300,False,33.258500,33.623400,reg,3008884
IVZ,2017-10-03,34.343700,34.411000,False,33.954800,34.103600,reg,2235521
IVZ,2017-10-04,34.180500,34.487800,False,34.046000,34.257300,reg,1915645
IVZ,2017-10-05,34.382200,34.737500,False,34.170900,34.199700,reg,2686812
IVZ,2017-10-06,34.353300,34.468600,False,34.190100,34.468600,reg,2369505
IVZ,2017-10-09,34.314900,34.497400,False,34.257300,34.478200,reg,1745446
IVZ,2017-10-10,34.651100,34.775900,False,34.382200,34.459000,reg,3105596
IVZ,2017-10-11,34.852800,35.112100,False,34.679900,34.814300,reg,2658524
IVZ,2017-10-12,34.852800,35.232100,False,34.756700,34.843100,reg,4511378
IVZ,2017-10-13,34.718300,35.102500,False,34.689500,34.833500,reg,3281535
IVZ,2017-10-16,34.881600,34.948800,False,34.655900,34.804700,reg,2255479
IVZ,2017-10-17,34.756700,34.903200,False,34.598200,34.900800,reg,1979425
IVZ,2017-10-18,35.333000,35.371400,False,34.833500,34.900800,reg,2773095
IVZ,2017-10-19,35.419400,35.419400,False,35.035200,35.054400,reg,2214735
IVZ,2017-10-20,35.861200,35.938000,False,35.659500,35.851600,reg,3484867
IVZ,2017-10-23,35.784300,36.024400,False,35.697900,35.842000,reg,2170087
IVZ,2017-10-24,35.928400,36.096500,False,35.803500,36.014800,reg,1988683
IVZ,2017-10-25,35.381000,35.918800,False,34.929600,35.918800,reg,3314106
IVZ,2017-10-26,35.678700,36.254900,False,34.977600,36.206900,reg,2334045
IVZ,2017-10-27,35.429000,35.898600,False,35.294500,35.726700,reg,1788348
IVZ,2017-10-30,34.612700,35.323300,False,34.516600,35.179300,reg,2693893
IVZ,2017-10-31,34.372600,34.734600,False,34.314900,34.612700,reg,2737728
IVZ,2017-11-01,34.343700,34.814300,False,34.324500,34.622300,reg,1734602
IVZ,2017-11-02,34.727900,34.872000,False,34.295700,34.391800,reg,3305226
IVZ,2017-11-03,34.622300,34.756700,False,34.314900,34.727900,reg,2448831
IVZ,2017-11-06,34.449400,34.689500,False,34.382200,34.564600,reg,1496624
IVZ,2017-11-07,34.199700,34.660700,False,33.978800,34.507000,reg,1630999
IVZ,2017-11-08,34.276500,34.305300,False,34.007600,34.180500,reg,2081504
IVZ,2017-11-09,34.094000,34.161300,False,33.796300,34.017200,reg,1865481
IVZ,2017-11-10,33.757900,34.132500,False,33.642700,34.055600,reg,1598172
IVZ,2017-11-13,33.433700,33.588700,False,33.270000,33.540300,reg,1896646
IVZ,2017-11-14,33.385300,33.438600,False,33.181900,33.211000,reg,2247757
IVZ,2017-11-15,33.395000,33.704900,False,32.881700,33.133500,reg,4631776
IVZ,2017-11-16,33.482200,33.772700,False,33.414400,33.617700,reg,2280142
IVZ,2017-11-17,33.879300,33.966400,False,33.283600,33.346600,reg,2899321
IVZ,2017-11-20,34.344100,34.683100,False,33.908300,33.947000,reg,2941111
IVZ,2017-11-21,34.508800,34.750900,False,34.324800,34.508800,reg,2075362
IVZ,2017-11-22,34.121400,34.721900,False,34.053600,34.547500,reg,1426824
IVZ,2017-11-24,33.985800,34.286000,False,33.942200,34.237600,reg,687914
IVZ,2017-11-27,34.092300,34.208600,False,33.898600,34.034200,reg,2960694
IVZ,2017-11-28,34.867200,35.065700,False,34.092300,34.257000,reg,3293950
IVZ,2017-11-29,34.964000,35.332100,False,34.547500,35.089900,reg,3489230
